date,Sentimen score
2014/1/2,0.639133751
2014/1/3,0.6985842
2014/1/6,0.557002046
2014/1/7,0.905088053
2014/1/8,0.823214164
2014/1/9,0.674484897
2014/1/10,0.718089347
2014/1/13,0.71950176
2014/1/14,0.569188119
2014/1/15,0.628134939
2014/1/16,0.075054298
2014/1/17,0.892582725
2014/1/21,0.653558922
2014/1/22,0.707712587
2014/1/23,0.643549291
2014/1/24,0.624805377
2014/1/27,0.692554972
2014/1/28,0.472090105
2014/1/29,0.533015272
2014/1/30,0.708166661
2014/1/31,0.534375088
2014/2/3,0.658396488
2014/2/4,0.768171622
2014/2/5,0.837933074
2014/2/6,0.786347251
2014/2/7,0.486324397
2014/2/10,0.795081129
2014/2/11,0.808665857
2014/2/12,0.691057689
2014/2/13,0.665554174
2014/2/14,0.54508541
2014/2/18,0.742280681
2014/2/19,0.581169959
2014/2/20,0.735294503
2014/2/21,0.928710837
2014/2/24,0.809121761
2014/2/25,0.657129427
2014/2/26,0.780407622
2014/2/27,0.511675893
2014/2/28,0.653939113
2014/3/3,0.821208891
2014/3/4,0.839160676
2014/3/5,0.798604941
2014/3/6,0.612336034
2014/3/7,0.808017701
2014/3/10,0.738418696
2014/3/11,0.824877761
2014/3/12,0.010590967
2014/3/13,0.694297021
2014/3/14,0.827412011
2014/3/17,0.782453967
2014/3/18,0.760466559
2014/3/19,0.588349736
2014/3/20,0.662020311
2014/3/21,0.819770499
2014/3/24,0.329916164
2014/3/25,0.601480171
2014/3/26,0.606633837
2014/3/27,0.788000708
2014/3/28,0.740227884
2014/3/31,0.61150087
2014/4/1,0.678062769
2014/4/2,0.758438
2014/4/3,0.743304648
2014/4/4,0.713350027
2014/4/7,0.478095084
2014/4/8,0.855637988
2014/4/9,0.497314933
2014/4/10,0.652130333
2014/4/11,0.912157701
2014/4/14,0.479085055
2014/4/15,0.687327447
2014/4/16,0.776190273
2014/4/17,0.66187851
2014/4/21,0.698693568
2014/4/22,0.547975009
2014/4/23,0.896536768
2014/4/24,0.660401647
2014/4/25,0.73576359
2014/4/28,0.650088678
2014/4/29,0.727180216
2014/4/30,0.487221456
2014/5/1,0.522853988
2014/5/2,0.615501322
2014/5/5,0.701232737
2014/5/6,0.756832469
2014/5/7,0.660797961
2014/5/8,0.905930451
2014/5/9,0.894871499
2014/5/12,0.764913061
2014/5/13,0.725634214
2014/5/14,0.761969399
2014/5/15,0.733735459
2014/5/16,0.896019657
2014/5/19,0.645236763
2014/5/20,0.751291178
2014/5/21,0.695581382
2014/5/22,0.495295695
2014/5/23,0.251428472
2014/5/27,0.699725855
2014/5/28,0.683976666
2014/5/29,0.837307126
2014/5/30,0.618096023
2014/6/2,0.45517633
